date - totale_positivi - totale_deceduti
2020-02-25 00:00:00 - 93 - 3
2020-02-26 00:00:00 - 78 - 2
2020-02-27 00:00:00 - 251 - 5
2020-02-28 00:00:00 - 238 - 4
2020-02-29 00:00:00 - 240 - 8
2020-03-01 00:00:00 - 583 - 5
2020-03-02 00:00:00 - 347 - 18
2020-03-03 00:00:00 - 466 - 27
2020-03-04 00:00:00 - 587 - 28
2020-03-05 00:00:00 - 769 - 41
2020-03-06 00:00:00 - 778 - 49
2020-03-07 00:00:00 - 1247 - 36
2020-03-08 00:00:00 - 1492 - 133
2020-03-09 00:00:00 - 1807 - 97
2020-03-10 00:00:00 - 977 - 168
2020-03-11 00:00:00 - 2313 - 196
2020-03-12 00:00:00 - 2651 - 189
2020-03-13 00:00:00 - 2547 - 250
2020-03-14 00:00:00 - 3497 - 175
2020-03-15 00:00:00 - 3590 - 368
2020-03-16 00:00:00 - 3233 - 349
2020-03-17 00:00:00 - 3526 - 345
2020-03-18 00:00:00 - 4207 - 475
2020-03-19 00:00:00 - 5322 - 427
2020-03-20 00:00:00 - 5986 - 627
2020-03-21 00:00:00 - 6557 - 793
2020-03-22 00:00:00 - 5560 - 651
2020-03-23 00:00:00 - 4789 - 602
2020-03-24 00:00:00 - 5249 - 743
2020-03-25 00:00:00 - 5210 - 683
2020-03-26 00:00:00 - 6153 - 662
2020-03-27 00:00:00 - 5959 - 969
2020-03-28 00:00:00 - 5974 - 889
2020-03-29 00:00:00 - 5217 - 756
2020-03-30 00:00:00 - 4050 - 812
2020-03-31 00:00:00 - 4053 - 837
2020-04-01 00:00:00 - 4782 - 727
2020-04-02 00:00:00 - 4668 - 760
2020-04-03 00:00:00 - 4585 - 766
2020-04-04 00:00:00 - 4805 - 681
2020-04-05 00:00:00 - 4316 - 525
2020-04-06 00:00:00 - 3599 - 636
2020-04-07 00:00:00 - 3039 - 604
2020-04-08 00:00:00 - 3836 - 542
2020-04-09 00:00:00 - 4204 - 610
2020-04-10 00:00:00 - 3951 - 570
2020-04-11 00:00:00 - 4694 - 619
2020-04-12 00:00:00 - 4092 - 431
2020-04-13 00:00:00 - 3153 - 566
2020-04-14 00:00:00 - 2972 - 602
2020-04-15 00:00:00 - 2667 - 578
2020-04-16 00:00:00 - 3786 - 525
2020-04-17 00:00:00 - 3511 - 575
2020-04-18 00:00:00 - 3491 - 482
2020-04-19 00:00:00 - 3047 - 433
2020-04-20 00:00:00 - 2256 - 454
2020-04-21 00:00:00 - 2729 - 535
2020-04-22 00:00:00 - 3370 - 437
2020-04-23 00:00:00 - 2646 - 464
2020-04-24 00:00:00 - 3021 - 420
2020-04-25 00:00:00 - 2357 - 415
2020-04-26 00:00:00 - 2324 - 260
2020-04-27 00:00:00 - 1739 - 333
2020-04-28 00:00:00 - 2091 - 382
2020-04-29 00:00:00 - 2086 - 323
2020-04-30 00:00:00 - 1872 - 285
2020-05-01 00:00:00 - 1965 - 269
2020-05-02 00:00:00 - 1900 - 474
2020-05-03 00:00:00 - 1389 - 174
2020-05-04 00:00:00 - 1223 - 195
2020-05-05 00:00:00 - 1075 - 236
2020-05-06 00:00:00 - 1444 - 369
2020-05-07 00:00:00 - 1417 - 274
2020-05-08 00:00:00 - 1328 - 243
2020-05-09 00:00:00 - 1083 - 194
2020-05-10 00:00:00 - 802 - 165
2020-05-11 00:00:00 - 744 - 179
2020-05-12 00:00:00 - 1402 - 172
2020-05-13 00:00:00 - 888 - 195
2020-05-14 00:00:00 - 992 - 262
2020-05-15 00:00:00 - 789 - 242
2020-05-16 00:00:00 - 875 - 153
2020-05-17 00:00:00 - 675 - 145
2020-05-18 00:00:00 - 451 - 99
2020-05-19 00:00:00 - 816 - 162
2020-05-20 00:00:00 - 665 - 161
2020-05-21 00:00:00 - 642 - 156
2020-05-22 00:00:00 - 652 - 130
2020-05-23 00:00:00 - 669 - 119
2020-05-24 00:00:00 - 531 - 50
2020-05-25 00:00:00 - 302 - 92
Top 3 cities - totale positivi
Lombardia - 87086
Piemonte - 30234
Emilia-Romagna - 27564
